E vs. RHE,mA/cm^2 (geo),C2H4,C2H6,AcO-,EtOH,1-PrOH,C2H4,C2H6,AcO-,EtOH,1-PrOH,C2,C2+,H2 from rest
-0.153,0,0.58,0.51,6.9,0,0,0,0,0,0,0,0,0,0
-0.203,0,0.23,0.17,13.15,0,0,0,0,0,0,0,0,0,0
-0.253,0.08,0.09,0.09,21.56,28.31,0,4.96552E-07,4.96552E-07,0.000118952,0.000156193,0,1.52352E-09,2.7396E-12,0.000551724
-0.303,0.22,0.66,0.48,14.5,49.79,0,1.00138E-05,7.28276E-06,0.00022,0.000755434,0,1.50621E-08,1.10497E-10,0.001517241
-0.353,0.32,2.69,1.55,9.84,43.37,0,5.93655E-05,3.42069E-05,0.000217159,0.000957131,0,2.79804E-08,7.54911E-10,0.002206896
-0.403,0.38,5.79,2.55,2.58,21.96,1.03,0.000151738,6.68276E-05,6.76138E-05,0.000575503,2.69931E-05,2.2582E-08,1.75134E-09,0.002620688
-0.453,0.43,6.49,1.8,0.74,10.61,1.5,0.000192462,5.33793E-05,2.19448E-05,0.000314641,4.44828E-05,1.7272E-08,1.58297E-09,0.002965516
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,roughness factor,145,,,,,,,,,,,,